date,ticker,monthly_return,target,vix_avg,rate_10y,net_margin,gross_margin,operating_margin,op_margin_change,de_ratio,current_ratio,sentiment_avg
2020-02-29,COST,-0.07785844023394106,0,13.94095238095238,1.76,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2020-03-31,COST,0.014192118107959617,1,19.628947368421052,1.5,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2020-04-30,COST,0.06510130276069681,1,57.73681818181819,0.87,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2020-05-31,COST,0.018052375337400894,1,41.453809523809525,0.66,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2020-06-30,COST,-0.01705173691840156,0,30.897000000000002,0.67,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2020-07-31,COST,0.07592201864868797,1,31.119545454545456,0.73,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2020-08-31,COST,0.06798140762801386,1,26.840454545454545,0.62,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2020-09-30,COST,0.02111245927760841,1,22.88952380952381,0.65,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2020-10-31,COST,0.009316118007591356,1,27.64761904761905,0.68,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2020-11-30,COST,0.09549221083615467,1,29.438636363636363,0.79,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2020-12-31,COST,-0.013070340556751714,0,24.9955,0.87,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-01-31,COST,-0.06462673028481236,0,22.37409090909091,0.93,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-02-28,COST,-0.058951910239877,0,24.91,1.08,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-03-31,COST,0.0648946127187715,1,23.140526315789476,1.26,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-04-30,COST,0.05789522826139737,1,21.84304347826087,1.61,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-05-31,COST,0.01660901538409676,1,17.416190476190476,1.64,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-06-30,COST,0.04599893709742564,1,19.7605,1.62,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-07-31,COST,0.08809215419394945,1,16.956818181818182,1.52,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-08-31,COST,0.059969447544757415,1,17.603333333333335,1.32,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-09-30,COST,-0.013480076272608721,0,17.472727272727273,1.28,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-10-31,COST,0.09566076190805539,1,19.824761904761903,1.37,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-11-30,COST,0.09732688445656668,1,17.871428571428574,1.58,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2021-12-31,COST,0.052504732969480994,1,18.50047619047619,1.56,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2022-01-31,COST,-0.1102166443945527,0,21.354545454545455,1.47,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2022-02-28,COST,0.029511085074759302,1,23.181,1.76,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2022-03-31,COST,0.10900355042977994,1,25.748421052631578,1.93,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2022-04-30,COST,-0.07513239234597613,0,26.968695652173913,2.13,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2022-05-31,COST,-0.12318508109089088,0,24.3735,2.75,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2022-06-30,COST,0.028012639311191023,1,29.313636363636363,2.9,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2022-07-31,COST,0.13135174483625267,1,28.23318181818182,3.14,0.025968880267448098,0.12259688802674482,0.03433735470624003,-0.0008485602863300065,0.354537473062495,1.0218138633664604,0.0
2022-08-31,COST,-0.035470156787678175,0,24.995238095238093,2.9,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2022-09-30,COST,-0.0954416686334072,0,22.169565217391302,2.9,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2022-10-31,COST,0.06380976637794955,1,27.34181818181818,3.52,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2022-11-30,COST,0.07527424045086817,1,30.005714285714287,3.98,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2022-12-31,COST,-0.1534539490776211,0,23.29909090909091,3.89,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2023-01-31,COST,0.11969327515400408,1,21.784285714285716,3.62,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2023-02-28,COST,-0.05109592037951438,0,20.16904761904762,3.53,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2023-03-31,COST,0.026209184673239516,1,20.1205,3.75,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2023-04-30,COST,0.012779914871360987,1,21.644347826086957,3.66,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2023-05-31,COST,0.018693767013669982,1,17.817894736842106,3.46,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2023-06-30,COST,0.05242792634264548,1,17.63608695652174,3.57,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2023-07-31,COST,0.04140206529581203,1,14.003181818181817,3.75,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2023-08-31,COST,-0.01846395106693166,0,13.932380952380951,3.9,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2023-09-30,COST,0.028546374659985885,1,15.85391304347826,4.17,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2023-10-31,COST,-0.02216068841454788,0,15.173333333333332,4.38,0.025749711395260715,0.12148717361227385,0.03433735470624003,-0.0008485602863300065,0.43789361495979073,1.0218138633664604,0.0
2023-11-30,COST,0.07491809375793346,1,18.887727272727272,4.8,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2023-12-31,COST,0.13893196286128506,1,14.01909090909091,4.5,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2024-01-31,COST,0.05272089673860125,1,12.7185,4.02,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2024-02-29,COST,0.07210370260886623,1,13.388636363636364,4.06,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2024-03-31,COST,-0.015136688494366557,0,13.980476190476189,4.21,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2024-04-30,COST,-0.011697215117631998,0,13.7875,4.21,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2024-05-31,COST,0.1203348424372146,1,16.137727272727275,4.54,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2024-06-30,COST,0.04951301671159869,1,13.058695652173913,4.48,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2024-07-31,COST,-0.03155313558469486,0,12.667,4.31,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2024-08-31,COST,0.08562044182388706,1,14.373913043478263,4.25,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2024-09-30,COST,-0.0065666423475563285,0,19.312272727272727,3.87,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2024-10-31,COST,-0.013919656416838122,0,17.663333333333334,3.72,0.025968880267448098,0.12259688802674482,0.033488794419910026,-0.0008485602863300065,0.354537473062495,1.0683679242473871,0.0
2024-11-30,COST,0.113239041299106,1,19.960869565217394,4.1,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2024-12-31,COST,-0.05721893739121875,0,16.015238095238097,4.36,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2025-01-31,COST,0.06942285379563606,1,15.866190476190477,4.39,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2025-02-28,COST,0.07132364471331432,1,16.763636363636365,4.63,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2025-03-31,COST,-0.0980631580524457,0,16.968,4.45,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2025-04-30,COST,0.05151292566445176,1,21.841428571428573,4.28,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2025-05-31,COST,0.04729555109769312,1,31.966190476190473,4.28,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2025-06-30,COST,-0.04829943180050511,0,20.46227272727273,4.42,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2025-07-31,COST,-0.05081114848570967,0,18.403333333333336,4.38,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2025-08-31,COST,0.005307186392834673,1,16.381304347826084,4.39,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2025-09-30,COST,-0.018752874297062405,0,15.75,4.26,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2025-10-31,COST,-0.01392620036875214,0,15.789090909090909,4.12,0.028952301603832536,0.1261333134213391,0.036490039417888566,0.0030012449979785402,0.3458216916433833,0.965655312429506,0.0
2025-11-30,COST,0.0023479121057152774,1,18.086521739130436,4.06,0.029425763438516175,0.12843206714262356,0.03772412665540356,0.0012340872375149955,0.2802427650528048,1.0342783227336423,0.0
2025-12-31,COST,-0.05247427755104117,0,19.7695,4.09,0.029425763438516175,0.12843206714262356,0.03772412665540356,0.0012340872375149955,0.2802427650528048,1.0342783227336423,0.0
2020-02-29,LOW,-0.08318973923399442,0,13.94095238095238,1.76,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2020-03-31,LOW,-0.19254974231298372,0,19.628947368421052,1.5,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2020-04-30,LOW,0.22439466960232135,1,57.73681818181819,0.87,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2020-05-31,LOW,0.2443914646534957,1,41.453809523809525,0.66,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2020-06-30,LOW,0.03659356515644818,1,30.897000000000002,0.67,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2020-07-31,LOW,0.10627987793267257,1,31.119545454545456,0.73,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2020-08-31,LOW,0.10597012271855388,1,26.840454545454545,0.62,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2020-09-30,LOW,0.0071043705404425506,1,22.88952380952381,0.65,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2020-10-31,LOW,-0.04350953889010323,0,27.64761904761905,0.68,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2020-11-30,LOW,-0.014421314936679974,0,29.438636363636363,0.79,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2020-12-31,LOW,0.030098859940526745,1,24.9955,0.87,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-01-31,LOW,0.04315217505103908,1,22.37409090909091,0.93,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-02-28,LOW,-0.04255330466651441,0,24.91,1.08,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-03-31,LOW,0.1904850906440163,1,23.140526315789476,1.26,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-04-30,LOW,0.03496084476960504,1,21.84304347826087,1.61,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-05-31,LOW,-0.007235475088976928,0,17.416190476190476,1.64,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-06-30,LOW,-0.004414146109367412,0,19.7605,1.62,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-07-31,LOW,-0.002461751140966917,0,16.956818181818182,1.52,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-08-31,LOW,0.058124519307144684,1,17.603333333333335,1.32,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-09-30,LOW,-0.005051975843744505,0,17.472727272727273,1.28,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-10-31,LOW,0.15679123817598506,1,19.824761904761903,1.37,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-11-30,LOW,0.04606068249831097,1,17.871428571428574,1.58,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2021-12-31,LOW,0.056789228849822404,1,18.50047619047619,1.56,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-01-31,LOW,-0.07871905245580257,0,21.354545454545455,1.47,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-02-28,LOW,-0.06863294648309226,0,23.181,1.76,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-03-31,LOW,-0.08536125513031045,0,25.748421052631578,1.93,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-04-30,LOW,-0.018101797692391397,0,26.968695652173913,2.13,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-05-31,LOW,-0.012289399760569975,0,24.3735,2.75,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-06-30,LOW,-0.10563237775734446,0,29.313636363636363,2.9,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-07-31,LOW,0.10275713599984027,1,28.23318181818182,3.14,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-08-31,LOW,0.013626963351120569,1,24.995238095238093,2.9,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-09-30,LOW,-0.032605246587948944,0,22.169565217391302,2.9,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-10-31,LOW,0.0436630362217576,1,27.34181818181818,3.52,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-11-30,LOW,0.09027968453258017,1,30.005714285714287,3.98,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2022-12-31,LOW,-0.06262046620824335,0,23.29909090909091,3.89,0.08314410689102947,0.33316203360661617,0.12508067022014008,0.029128896839470342,-2.667441860465116,1.098969811900979,0.0
2023-01-31,LOW,0.05060002904571115,1,21.784285714285716,3.62,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2023-02-28,LOW,-0.012004826920103295,0,20.16904761904762,3.53,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2023-03-31,LOW,-0.02809226650047969,0,20.1205,3.75,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2023-04-30,LOW,0.044502658684987706,1,21.644347826086957,3.66,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2023-05-31,LOW,-0.0322379815670516,0,17.817894736842106,3.46,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2023-06-30,LOW,0.12215981957847633,1,17.63608695652174,3.57,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2023-07-31,LOW,0.042873208361024595,1,14.003181818181817,3.75,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2023-08-31,LOW,-0.016177891824328938,0,13.932380952380951,3.9,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2023-09-30,LOW,-0.09822992395961261,0,15.85391304347826,4.17,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2023-10-31,LOW,-0.07770710341357334,0,15.173333333333332,4.38,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2023-11-30,LOW,0.043343611838349894,1,18.887727272727272,4.8,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2023-12-31,LOW,0.11929795124803011,1,14.01909090909091,4.5,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2024-01-31,LOW,-0.03882180498359744,0,12.7185,4.02,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2024-02-29,LOW,0.13075552655823963,1,13.388636363636364,4.06,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2024-03-31,LOW,0.058420288124394704,1,13.980476190476189,4.21,0.06632048547790519,0.33234424422258624,0.10466829454249477,0.029128896839470342,-2.665497404237407,1.098969811900979,0.0
2024-04-30,LOW,-0.10069564088568428,0,13.7875,4.21,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2024-05-31,LOW,-0.029387345441299395,0,16.137727272727275,4.54,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2024-06-30,LOW,-0.003750738077438198,0,13.058695652173913,4.48,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2024-07-31,LOW,0.1190261245824924,1,12.667,4.31,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2024-08-31,LOW,0.012178731735867476,1,14.373913043478263,4.25,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2024-09-30,LOW,0.08993951616724694,1,19.312272727272727,3.87,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2024-10-31,LOW,-0.029201357658590776,0,17.663333333333334,3.72,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2024-11-30,LOW,0.04048437681281092,1,19.960869565217394,4.1,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2024-12-31,LOW,-0.09407921573470579,0,16.015238095238097,4.36,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2025-01-31,LOW,0.05825032931532936,1,15.866190476190477,4.39,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2025-02-28,LOW,-0.04383941655913104,0,16.763636363636365,4.63,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2025-03-31,LOW,-0.06197718669265895,0,16.968,4.45,0.08944510691503525,0.3339314863910532,0.1337971913819651,0.029128896839470342,-2.667441860465116,1.225012846865365,0.0
2025-04-30,LOW,-0.036402859000391086,0,21.841428571428573,4.28,0.08314410689102947,0.33316203360661617,0.12508067022014008,-0.00871652116182503,-2.7881385707258803,1.0853548008743403,0.0
2025-05-31,LOW,0.009706546978976771,1,31.966190476190473,4.28,0.08314410689102947,0.33316203360661617,0.12508067022014008,-0.00871652116182503,-2.7881385707258803,1.0853548008743403,0.0
2025-06-30,LOW,-0.017100006214966212,0,20.46227272727273,4.42,0.08314410689102947,0.33316203360661617,0.12508067022014008,-0.00871652116182503,-2.7881385707258803,1.0853548008743403,0.0
2025-07-31,LOW,0.013021380213540379,1,18.403333333333336,4.38,0.08314410689102947,0.33316203360661617,0.12508067022014008,-0.00871652116182503,-2.7881385707258803,1.0853548008743403,0.0
2025-08-31,LOW,0.1542692595961519,1,16.381304347826084,4.39,0.08314410689102947,0.33316203360661617,0.12508067022014008,-0.00871652116182503,-2.7881385707258803,1.0853548008743403,0.0
2025-09-30,LOW,-0.026156676483689356,0,15.75,4.26,0.08314410689102947,0.33316203360661617,0.12508067022014008,-0.00871652116182503,-2.7881385707258803,1.0853548008743403,0.0
2025-10-31,LOW,-0.04778635640754014,0,15.789090909090909,4.12,0.08314410689102947,0.33316203360661617,0.12508067022014008,-0.00871652116182503,-2.7881385707258803,1.0853548008743403,0.0
